epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,540.037,0.82716,0.5716,1.25269,0.96954,0.94697,0.98241,0.75284,0.83971,0.49077,1.40704,0.00123791,0.00123791,0.00123791
15,575.665,0.81192,0.57219,1.23602,0.97712,0.97077,0.98321,0.76996,0.78456,0.45555,1.3451,0.00120491,0.00120491,0.00120491
16,611.705,0.81012,0.55038,1.2366,0.9672,0.96795,0.98397,0.78935,0.73648,0.44231,1.23529,0.0011719,0.0011719,0.0011719
17,648.767,0.78668,0.5184,1.22564,0.97205,0.97727,0.9913,0.77615,0.75683,0.45209,1.252,0.00113889,0.00113889,0.00113889
18,685.909,0.78565,0.52338,1.22565,0.97683,0.97475,0.9907,0.7986,0.7291,0.42824,1.22235,0.00110589,0.00110589,0.00110589
19,722.617,0.78465,0.51478,1.21481,0.9848,0.98146,0.9913,0.80391,0.70515,0.41392,1.20898,0.00107288,0.00107288,0.00107288
20,756.515,0.7677,0.5164,1.21359,0.96248,0.97177,0.98871,0.79691,0.69107,0.41109,1.18663,0.00103987,0.00103987,0.00103987
21,790.968,0.76506,0.50957,1.20194,0.98226,0.97874,0.99059,0.80345,0.73152,0.39583,1.22831,0.00100687,0.00100687,0.00100687
22,828.501,0.75761,0.49662,1.19143,0.97979,0.97922,0.98971,0.7996,0.71739,0.42096,1.21045,0.000973861,0.000973861,0.000973861
23,865.557,0.76128,0.4974,1.21098,0.9765,0.98232,0.99153,0.80168,0.69642,0.3915,1.19881,0.000940855,0.000940855,0.000940855
24,902.521,0.74952,0.48548,1.19028,0.98233,0.9829,0.99305,0.80478,0.69833,0.40729,1.21183,0.000907848,0.000907848,0.000907848
25,939.624,0.74792,0.48264,1.20056,0.97574,0.9798,0.98965,0.80344,0.68993,0.39823,1.20037,0.000874842,0.000874842,0.000874842
26,976.237,0.73585,0.46212,1.19253,0.98731,0.9822,0.99084,0.79213,0.73991,0.39544,1.25451,0.000841835,0.000841835,0.000841835
27,1012.64,0.72308,0.46711,1.18284,0.98181,0.98232,0.99189,0.80666,0.68546,0.37664,1.19785,0.000808828,0.000808828,0.000808828
28,1049.4,0.71331,0.45771,1.17504,0.98949,0.98737,0.99384,0.81377,0.67184,0.35561,1.18564,0.000775822,0.000775822,0.000775822
29,1085.8,0.70726,0.43696,1.17553,0.97732,0.97918,0.99049,0.80727,0.68386,0.37517,1.20651,0.000742815,0.000742815,0.000742815
30,1122.82,0.70659,0.43869,1.17462,0.98682,0.97475,0.98921,0.80915,0.68969,0.3591,1.18449,0.000709809,0.000709809,0.000709809
31,1159.97,0.6922,0.43609,1.1537,0.98799,0.97475,0.99147,0.81677,0.65766,0.35664,1.16195,0.000676802,0.000676802,0.000676802
32,1197.25,0.69588,0.43915,1.15846,0.98749,0.97222,0.98777,0.80785,0.69094,0.36536,1.19752,0.000643795,0.000643795,0.000643795
33,1234.65,0.69373,0.42939,1.16101,0.99227,0.97308,0.98926,0.81793,0.67666,0.36039,1.1842,0.000610789,0.000610789,0.000610789
34,1272.34,0.67957,0.41704,1.16019,0.98551,0.9798,0.99054,0.82214,0.66522,0.34075,1.19359,0.000577782,0.000577782,0.000577782
35,1310.42,0.6966,0.43099,1.16326,0.98909,0.97475,0.99299,0.82049,0.64928,0.36044,1.17909,0.000544776,0.000544776,0.000544776
36,1347.7,0.68075,0.41316,1.16067,0.98979,0.97934,0.99053,0.82139,0.65334,0.34946,1.18094,0.000511769,0.000511769,0.000511769
37,1384.17,0.67287,0.41721,1.15189,0.97484,0.9784,0.99203,0.82115,0.65674,0.35589,1.17432,0.000478762,0.000478762,0.000478762
38,1421.15,0.65991,0.39634,1.14869,0.98446,0.98737,0.99081,0.81842,0.68632,0.36559,1.19772,0.000445756,0.000445756,0.000445756
39,1457.75,0.66679,0.40818,1.15091,0.98717,0.98485,0.99196,0.81463,0.68125,0.32983,1.21239,0.000412749,0.000412749,0.000412749
40,1494.61,0.66451,0.39807,1.14641,0.99106,0.98485,0.99403,0.82667,0.64555,0.32115,1.15784,0.000379743,0.000379743,0.000379743
41,1529,0.51782,0.30429,1.10332,0.98928,0.98737,0.99354,0.82222,0.64679,0.33872,1.16837,0.000346736,0.000346736,0.000346736
42,1562.96,0.48346,0.28544,1.07591,0.98906,0.98737,0.99375,0.83077,0.63834,0.32394,1.15145,0.000313729,0.000313729,0.000313729
43,1596.89,0.48202,0.28127,1.06878,0.98479,0.98129,0.99304,0.82747,0.62907,0.33173,1.14428,0.000280723,0.000280723,0.000280723
44,1630.83,0.48296,0.27589,1.07142,0.99237,0.98544,0.99378,0.83174,0.62395,0.31076,1.15022,0.000247716,0.000247716,0.000247716
45,1664.9,0.46075,0.26728,1.04915,0.99106,0.98232,0.99382,0.83685,0.61664,0.31044,1.14086,0.00021471,0.00021471,0.00021471
46,1698.08,0.45799,0.26609,1.06116,0.99155,0.98232,0.99286,0.83318,0.59753,0.30735,1.12855,0.000181703,0.000181703,0.000181703
47,1732,0.44992,0.25658,1.05395,0.98834,0.98485,0.99317,0.83287,0.61641,0.30061,1.14655,0.000148696,0.000148696,0.000148696
48,1766.2,0.44135,0.25376,1.05308,0.98733,0.98427,0.99349,0.83308,0.6184,0.3069,1.15001,0.00011569,0.00011569,0.00011569
49,1800.35,0.43698,0.25198,1.04815,0.98808,0.98232,0.99291,0.83839,0.60526,0.30114,1.13676,8.26832e-05,8.26832e-05,8.26832e-05
50,1834.07,0.43944,0.25297,1.04572,0.99235,0.98278,0.993,0.83619,0.61107,0.29587,1.13922,4.96766e-05,4.96766e-05,4.96766e-05
