epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5054,0.98943,1.76948,1.40126,0.80836,0.81566,0.85573,0.56777,1.09877,1.44114,1.70489,0.000550569,0.000550569,0.000550569
2,92.4008,0.98203,1.19122,1.37133,0.70985,0.76263,0.79722,0.54428,1.1862,1.45483,1.71255,0.00108433,0.00108433,0.00108433
3,130.862,1.01811,1.03931,1.38815,0.8988,0.80051,0.90221,0.6394,0.99346,0.92485,1.69494,0.00159609,0.00159609,0.00159609
4,169.044,0.99017,0.91342,1.36268,0.91074,0.88889,0.95692,0.63411,1.11227,0.86867,1.6863,0.00156798,0.00156798,0.00156798
5,207.679,0.96221,0.81179,1.34977,0.74727,0.70707,0.80903,0.53424,1.13948,1.23452,1.67228,0.00153497,0.00153497,0.00153497
6,245.521,0.94544,0.76275,1.32476,0.85766,0.90152,0.93111,0.65186,1.04318,0.82723,1.55559,0.00150197,0.00150197,0.00150197
7,283.61,0.92082,0.71502,1.30317,0.96009,0.91114,0.96985,0.69846,0.97906,0.62201,1.4586,0.00146896,0.00146896,0.00146896
8,322.038,0.91121,0.70203,1.29864,0.94596,0.93182,0.96622,0.73681,0.85147,0.59211,1.35926,0.00143595,0.00143595,0.00143595
9,360.267,0.87996,0.6584,1.27476,0.97436,0.88131,0.967,0.74143,0.82216,0.62968,1.32038,0.00140295,0.00140295,0.00140295
10,398.372,0.84838,0.62805,1.25255,0.96402,0.94949,0.98507,0.76914,0.79089,0.52306,1.3195,0.00136994,0.00136994,0.00136994
11,435.349,0.85894,0.62103,1.27314,0.9642,0.95208,0.97801,0.76816,0.78575,0.54124,1.27419,0.00133693,0.00133693,0.00133693
12,469.979,0.8479,0.61409,1.25967,0.95963,0.96043,0.98301,0.75437,0.81058,0.5031,1.31216,0.00130393,0.00130393,0.00130393
13,504.707,0.85307,0.60245,1.26362,0.98181,0.95403,0.9866,0.7679,0.79258,0.50322,1.34578,0.00127092,0.00127092,0.00127092
