epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7944,1.02393,1.88134,1.3573,0.83329,0.74613,0.83814,0.49386,1.29934,1.84298,1.45156,0.000552105,0.000552105,0.000552105
2,125.468,1.07296,1.31247,1.3531,0.75833,0.71403,0.74081,0.42598,1.6815,1.5666,1.80431,0.00108584,0.00108584,0.00108584
3,180.739,1.06846,1.07758,1.36618,0.80358,0.64396,0.76205,0.45675,1.44899,1.25191,1.50208,0.00159757,0.00159757,0.00159757
4,234.751,1.05963,0.95862,1.34422,0.79832,0.87616,0.8871,0.50998,1.41011,1.14512,1.50637,0.00156798,0.00156798,0.00156798
5,289.755,1.0436,0.85494,1.31978,0.8391,0.8452,0.91219,0.5918,1.24194,0.86149,1.3763,0.00153497,0.00153497,0.00153497
6,344.474,1.01155,0.7719,1.31624,0.89831,0.8808,0.91295,0.53115,1.37155,0.85522,1.39724,0.00150197,0.00150197,0.00150197
7,400.46,0.99226,0.76901,1.30267,0.92751,0.89127,0.92234,0.6167,1.21553,0.70841,1.3017,0.00146896,0.00146896,0.00146896
8,455.236,0.97434,0.71091,1.28472,0.92072,0.84495,0.92847,0.58311,1.18563,0.95139,1.28835,0.00143595,0.00143595,0.00143595
9,511.894,0.93424,0.67388,1.25651,0.85386,0.93156,0.94154,0.66312,1.07931,0.7295,1.2112,0.00140295,0.00140295,0.00140295
10,625.009,0.91947,0.65744,1.24514,0.93093,0.87633,0.95885,0.66422,1.08354,0.68863,1.20896,0.00136994,0.00136994,0.00136994
11,677.153,0.91074,0.62042,1.23619,0.93802,0.96594,0.9799,0.6708,1.07179,0.60327,1.14881,0.00133693,0.00133693,0.00133693
12,730.478,0.89489,0.59859,1.23293,0.96419,0.91693,0.96997,0.64842,1.11521,0.66621,1.33729,0.00130393,0.00130393,0.00130393
13,784.816,0.88865,0.59805,1.22412,0.95246,0.96141,0.98547,0.68661,1.05886,0.59809,1.18644,0.00127092,0.00127092,0.00127092
14,839.994,0.87604,0.5879,1.21763,0.9571,0.97678,0.98893,0.68573,1.10596,0.58756,1.19242,0.00123791,0.00123791,0.00123791
15,894.258,0.84657,0.57601,1.19511,0.97843,0.98142,0.99156,0.68823,1.04412,0.56274,1.18384,0.00120491,0.00120491,0.00120491
16,948.565,0.84953,0.55223,1.19335,0.95711,0.95046,0.97674,0.68905,1.04616,0.61748,1.15778,0.0011719,0.0011719,0.0011719
17,1002.58,0.84816,0.57952,1.19244,0.96133,0.96217,0.97702,0.68268,1.03501,0.65679,1.17673,0.00113889,0.00113889,0.00113889
18,1056.15,0.825,0.53301,1.19278,0.95727,0.9613,0.98853,0.69169,1.05732,0.54533,1.17741,0.00110589,0.00110589,0.00110589
19,1113.55,0.81146,0.51948,1.17685,0.98429,0.96749,0.9826,0.69903,1.03283,0.55995,1.15043,0.00107288,0.00107288,0.00107288
20,1169.29,0.83746,0.5546,1.18454,0.97443,0.97523,0.99115,0.69012,0.99475,0.53665,1.13915,0.00103987,0.00103987,0.00103987
21,1225.16,0.82528,0.52464,1.18961,0.9571,0.91796,0.97644,0.69555,1.06266,0.5605,1.14076,0.00100687,0.00100687,0.00100687
22,1282.12,0.80301,0.49019,1.1593,0.96666,0.97988,0.98747,0.67662,1.11238,0.5669,1.17642,0.000973861,0.000973861,0.000973861
23,1337.19,0.80863,0.5026,1.17923,0.97331,0.96594,0.98032,0.67259,1.09008,0.5999,1.18118,0.000940855,0.000940855,0.000940855
24,1392.68,0.78713,0.49004,1.15245,0.97994,0.97678,0.98667,0.68573,1.02477,0.55784,1.15912,0.000907848,0.000907848,0.000907848
25,1448.01,0.77248,0.47504,1.16443,0.98223,0.98762,0.99291,0.71204,0.99218,0.50051,1.15105,0.000874842,0.000874842,0.000874842
26,1502.58,0.77083,0.4716,1.15985,0.98129,0.97447,0.99108,0.70711,0.98759,0.54311,1.16142,0.000841835,0.000841835,0.000841835
27,1556.9,0.76699,0.47304,1.15105,0.97668,0.97246,0.98491,0.70235,1.01854,0.52639,1.14036,0.000808828,0.000808828,0.000808828
28,1610.89,0.7758,0.46634,1.15424,0.97552,0.98717,0.99081,0.70295,1.0609,0.53308,1.15433,0.000775822,0.000775822,0.000775822
29,1665.2,0.75728,0.46047,1.14435,0.98292,0.98014,0.99192,0.72457,0.98952,0.47455,1.15219,0.000742815,0.000742815,0.000742815
30,1719.46,0.73243,0.45456,1.14489,0.98918,0.99033,0.99159,0.72772,0.96568,0.48803,1.1134,0.000709809,0.000709809,0.000709809
31,1774.48,0.75037,0.45078,1.14391,0.9746,0.97988,0.98456,0.70423,1.0182,0.50992,1.13374,0.000676802,0.000676802,0.000676802
32,1829.28,0.74494,0.44922,1.13318,0.97635,0.98607,0.98835,0.72127,0.94003,0.48259,1.11935,0.000643795,0.000643795,0.000643795
33,1884.94,0.74214,0.43689,1.13862,0.98417,0.98607,0.99192,0.71746,0.99251,0.50828,1.13307,0.000610789,0.000610789,0.000610789
34,1935.35,0.73074,0.44352,1.12647,0.97611,0.98452,0.9879,0.70748,0.99598,0.50587,1.1296,0.000577782,0.000577782,0.000577782
35,1981.59,0.73475,0.44263,1.13674,0.97694,0.9838,0.99286,0.72218,0.95313,0.48791,1.12133,0.000544776,0.000544776,0.000544776
36,2027.58,0.7204,0.43142,1.12945,0.9895,0.98607,0.99218,0.72273,0.966,0.47269,1.13357,0.000511769,0.000511769,0.000511769
37,2073.74,0.71321,0.42529,1.11553,0.98603,0.98314,0.9908,0.7229,0.96669,0.47218,1.12962,0.000478762,0.000478762,0.000478762
38,2119.16,0.71376,0.42249,1.1222,0.97602,0.98607,0.99049,0.71759,0.98835,0.46025,1.12831,0.000445756,0.000445756,0.000445756
39,2165.35,0.71452,0.4195,1.12069,0.99068,0.98758,0.99294,0.73072,0.95507,0.45886,1.12282,0.000412749,0.000412749,0.000412749
40,2209.76,0.69939,0.41561,1.1115,0.98734,0.99071,0.99287,0.72895,0.95957,0.45884,1.12001,0.000379743,0.000379743,0.000379743
41,2254.86,0.59616,0.3349,1.04288,0.98094,0.98916,0.99261,0.72078,0.97753,0.46681,1.12268,0.000346736,0.000346736,0.000346736
42,2300.07,0.57217,0.31096,1.02848,0.98401,0.98762,0.99351,0.73925,0.93353,0.45006,1.09873,0.000313729,0.000313729,0.000313729
43,2345.26,0.57529,0.31376,1.02814,0.98332,0.98452,0.9925,0.72897,0.96196,0.46742,1.1226,0.000280723,0.000280723,0.000280723
44,2387.34,0.56611,0.3123,1.02662,0.98417,0.98762,0.99326,0.73425,0.94173,0.44338,1.10957,0.000247716,0.000247716,0.000247716
45,2431.83,0.56851,0.30566,1.02012,0.98856,0.98762,0.99295,0.72402,0.97973,0.44617,1.1071,0.00021471,0.00021471,0.00021471
46,2477.09,0.55107,0.29312,1.02596,0.98549,0.99071,0.99349,0.74049,0.93193,0.42561,1.09736,0.000181703,0.000181703,0.000181703
47,2522.21,0.55225,0.29432,1.02034,0.98944,0.98762,0.99408,0.73621,0.9414,0.43335,1.09333,0.000148696,0.000148696,0.000148696
48,2565.93,0.53336,0.28666,1.00655,0.98507,0.98916,0.99392,0.74064,0.9305,0.43219,1.09261,0.00011569,0.00011569,0.00011569
49,2609.45,0.51923,0.27763,1.00107,0.98313,0.99381,0.99325,0.74104,0.92903,0.42944,1.08845,8.26832e-05,8.26832e-05,8.26832e-05
50,2651.87,0.51965,0.27587,1.00285,0.98556,0.98916,0.99378,0.73721,0.94232,0.43364,1.09086,4.96766e-05,4.96766e-05,4.96766e-05
