epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.321,1.01491,1.84179,1.35461,0.73245,0.64562,0.72935,0.42841,1.3796,1.83,1.57851,0.000552105,0.000552105,0.000552105
2,118.003,1.0605,1.27652,1.34393,0.59466,0.59088,0.60557,0.36712,1.54014,1.77203,1.58052,0.00108584,0.00108584,0.00108584
3,171.595,1.09044,1.05953,1.36421,0.80635,0.76263,0.82835,0.45324,1.393,1.23129,1.49906,0.00159757,0.00159757,0.00159757
4,225.322,1.08735,0.96036,1.35798,0.76171,0.85452,0.87834,0.59117,1.21149,0.96511,1.33549,0.00156798,0.00156798,0.00156798
5,278.326,1.0491,0.85071,1.33343,0.85567,0.88055,0.90477,0.45476,1.66281,1.17191,1.7388,0.00153497,0.00153497,0.00153497
6,331.45,1.00433,0.78395,1.28636,0.83189,0.86393,0.88511,0.56602,1.30877,0.85942,1.30617,0.00150197,0.00150197,0.00150197
7,384.484,1.00919,0.73567,1.29794,0.96277,0.951,0.9741,0.62394,1.17613,0.69122,1.29445,0.00146896,0.00146896,0.00146896
8,437.943,0.9549,0.6947,1.2565,0.93119,0.90658,0.95463,0.62294,1.1876,0.75959,1.30548,0.00143595,0.00143595,0.00143595
9,493.94,0.94794,0.67854,1.25388,0.94076,0.94849,0.97679,0.65167,1.15612,0.75045,1.25029,0.00140295,0.00140295,0.00140295
10,546.941,0.91402,0.66017,1.24163,0.92167,0.93694,0.9748,0.66215,1.17118,0.60984,1.26641,0.00136994,0.00136994,0.00136994
11,599.818,0.90744,0.6189,1.2386,0.95874,0.93568,0.9754,0.65593,1.10024,0.62882,1.21776,0.00133693,0.00133693,0.00133693
12,1265.12,0.88247,0.61852,1.21632,0.96626,0.91577,0.97173,0.65657,1.13282,0.61854,1.22387,0.00130393,0.00130393,0.00130393
13,1318.32,0.86383,0.57904,1.21183,0.92099,0.95712,0.97566,0.67186,1.08461,0.69631,1.21553,0.00127092,0.00127092,0.00127092
14,1371.11,0.87087,0.5832,1.21007,0.97038,0.95317,0.97437,0.66773,1.14509,0.5969,1.19632,0.00123791,0.00123791,0.00123791
15,1422.3,0.8882,0.5866,1.21565,0.95291,0.94487,0.97546,0.68315,1.05227,0.60832,1.19434,0.00120491,0.00120491,0.00120491
16,1833.78,0.86184,0.56166,1.2007,0.91603,0.96901,0.97892,0.6764,1.05118,0.6053,1.21872,0.0011719,0.0011719,0.0011719
17,1886.63,0.8376,0.5397,1.18787,0.96938,0.97397,0.9834,0.69177,1.0701,0.54172,1.21644,0.00113889,0.00113889,0.00113889
18,1939.78,0.83596,0.5275,1.20038,0.94726,0.96276,0.98387,0.69882,1.04445,0.56869,1.19214,0.00110589,0.00110589,0.00110589
19,2319.58,0.81827,0.53266,1.18081,0.93649,0.98162,0.98624,0.643,1.12736,0.59753,1.28918,0.00107288,0.00107288,0.00107288
