epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,2376.54,0.81778,0.54032,1.17314,0.93193,0.95712,0.97831,0.70326,1.00881,0.55421,1.15884,0.00103987,0.00103987,0.00103987
21,2429.71,0.8024,0.50824,1.16906,0.97817,0.96053,0.98309,0.69853,1.01849,0.52274,1.17099,0.00100687,0.00100687,0.00100687
22,2482.24,0.80488,0.51512,1.17271,0.97488,0.96784,0.97975,0.69594,0.99648,0.52564,1.14552,0.000973861,0.000973861,0.000973861
23,2532.74,0.78568,0.48333,1.16785,0.96893,0.95518,0.98339,0.72095,0.989,0.51503,1.14263,0.000940855,0.000940855,0.000940855
24,28299.1,0.79764,0.49852,1.16731,0.96608,0.96172,0.97925,0.67654,1.11421,0.52682,1.18994,0.000907848,0.000907848,0.000907848
25,28351.9,0.7841,0.4815,1.1639,0.9371,0.96172,0.98038,0.70786,0.99768,0.54189,1.16101,0.000874842,0.000874842,0.000874842
26,28405,0.77253,0.48519,1.15457,0.97016,0.96937,0.9871,0.72101,0.98281,0.5057,1.14431,0.000841835,0.000841835,0.000841835
27,28456.3,0.76876,0.47802,1.15186,0.97587,0.9709,0.98562,0.7116,1.03003,0.51681,1.14807,0.000808828,0.000808828,0.000808828
28,28507.6,0.75556,0.45969,1.13958,0.98473,0.97856,0.98775,0.71083,0.97772,0.4984,1.14286,0.000775822,0.000775822,0.000775822
29,28556.3,0.77462,0.45986,1.15029,0.98459,0.97871,0.99244,0.7151,0.98857,0.51561,1.13518,0.000742815,0.000742815,0.000742815
30,28609.3,0.74526,0.45727,1.13925,0.98597,0.97703,0.98056,0.70548,1.0071,0.49713,1.13413,0.000709809,0.000709809,0.000709809
31,28661.2,0.75621,0.45337,1.14354,0.9846,0.97922,0.99171,0.7127,0.97856,0.47327,1.12198,0.000676802,0.000676802,0.000676802
32,28714.6,0.7349,0.43335,1.12042,0.98303,0.97579,0.98827,0.71938,0.98215,0.4801,1.13546,0.000643795,0.000643795,0.000643795
33,28768.2,0.73096,0.43975,1.12483,0.98765,0.97958,0.99058,0.70973,1.0082,0.49853,1.13823,0.000610789,0.000610789,0.000610789
34,28821.1,0.73114,0.43639,1.12854,0.99069,0.97783,0.99189,0.73033,0.9591,0.44568,1.12804,0.000577782,0.000577782,0.000577782
35,28873.6,0.71954,0.42829,1.11999,0.98895,0.97856,0.98868,0.71777,0.97488,0.46433,1.12432,0.000544776,0.000544776,0.000544776
36,28968.7,0.72744,0.41852,1.13329,0.9865,0.97856,0.98323,0.7122,0.98974,0.46879,1.12165,0.000511769,0.000511769,0.000511769
37,29022.1,0.70967,0.41883,1.11051,0.98917,0.97896,0.9893,0.72496,0.97098,0.45646,1.12683,0.000478762,0.000478762,0.000478762
38,29074.9,0.70508,0.41966,1.11952,0.98507,0.97856,0.98919,0.72828,0.94912,0.46454,1.11182,0.000445756,0.000445756,0.000445756
39,29127.4,0.6937,0.40916,1.10956,0.98948,0.97243,0.98316,0.7219,0.94988,0.47124,1.11832,0.000412749,0.000412749,0.000412749
40,29179.9,0.709,0.41075,1.12011,0.98988,0.98009,0.98349,0.72806,0.96133,0.44536,1.11562,0.000379743,0.000379743,0.000379743
41,29270.5,0.59565,0.3343,1.04763,0.9907,0.9792,0.98943,0.72243,0.98229,0.46125,1.10984,0.000346736,0.000346736,0.000346736
42,29319.7,0.57193,0.31543,1.03175,0.98118,0.96937,0.98115,0.73112,0.94854,0.46622,1.11294,0.000313729,0.000313729,0.000313729
43,29366.1,0.56742,0.3078,1.02596,0.98759,0.97518,0.98193,0.72633,0.96657,0.45172,1.11265,0.000280723,0.000280723,0.000280723
44,29406.1,0.56596,0.30853,1.03212,0.9896,0.9755,0.98385,0.7267,0.96765,0.44343,1.11889,0.000247716,0.000247716,0.000247716
45,29446.7,0.56451,0.30143,1.01777,0.99042,0.97856,0.98335,0.71789,0.98251,0.44967,1.11443,0.00021471,0.00021471,0.00021471
46,29487.6,0.56169,0.29503,1.02359,0.98523,0.97397,0.98308,0.73495,0.92544,0.44313,1.09667,0.000181703,0.000181703,0.000181703
47,29528,0.55205,0.29265,1.02335,0.98919,0.98077,0.99256,0.7308,0.93979,0.43929,1.10569,0.000148696,0.000148696,0.000148696
48,29568.5,0.53887,0.28631,1.00514,0.98763,0.97842,0.99188,0.7259,0.96296,0.43904,1.11864,0.00011569,0.00011569,0.00011569
49,29610.3,0.52978,0.28355,1.00863,0.98734,0.97856,0.9912,0.72773,0.94336,0.44066,1.09909,8.26832e-05,8.26832e-05,8.26832e-05
50,29652,0.53417,0.27977,1.01143,0.98954,0.97703,0.99214,0.73342,0.93342,0.43098,1.09515,4.96766e-05,4.96766e-05,4.96766e-05
