epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.677,0.99001,1.82306,1.50954,0.40171,0.1875,0.15781,0.06711,3.51324,4.55902,4.1791,0.000544327,0.000544327,0.000544327
2,472.192,0.93912,1.15992,1.43484,0.68087,0.19167,0.21658,0.14066,3.18534,3.82608,3.325,0.00106369,0.00106369,0.00106369
